,lnR,lnR_2
2017-02-16,0.002781011768646202,7.734026457348677e-06
2017-02-17,-0.007808530616002507,6.097315038104849e-05
2017-02-20,0.006400521608383336,4.0966676859382006e-05
2017-02-21,0.013689797763676737,0.00018741056281036856
2017-02-22,-0.0005779669782475239,3.340458279445737e-07
2017-02-23,0.003109791581355381,9.670803679468802e-06
2017-02-24,0.006464173384027383,4.178553753876803e-05
2017-02-27,-0.006038500087041321,3.646348330119804e-05
2017-02-28,0.00020239080695905187,4.09620387415362e-08
2017-03-01,0.0024927911165368855,6.214007550685212e-06
2017-03-02,-0.006006710044808017,3.6080565562397526e-05
2017-03-03,0.004100102140272455,1.6810837560666764e-05
2017-03-06,0.01772314101413297,0.00031410972740684225
2017-03-07,0.0076536553199755275,5.8578439756989694e-05
2017-03-08,-0.006706463722959022,4.497665566736538e-05
2017-03-09,-0.00545608552052812,2.9768869207316607e-05
2017-03-10,-0.00201334613790749,4.053562671027006e-06
2017-03-13,0.01064564274890678,0.00011332970953735152
2017-03-14,-0.006546384955793627,4.285515598944113e-05
2017-03-15,-0.00010214921966866797,1.0434463078917783e-08
2017-03-16,0.004540655773797475,2.061755485612035e-05
2017-03-17,-0.00871726671587325,7.599073899567162e-05
2017-03-20,0.002131432247588272,4.543003426059192e-06
2017-03-21,0.0036987127339207504,1.3680475888067511e-05
2017-03-22,-0.006384241203204688,4.075853574069644e-05
2017-03-23,-0.00010777659462046785,1.1615794347984658e-08
2017-03-24,0.008570364019941934,7.345113943431526e-05
2017-03-27,-0.009001586593938349,8.10285612081706e-05
2017-03-28,-0.0016290289299174532,2.653735254508003e-06
2017-03-29,-0.007827464866092981,6.126920622992001e-05
2017-03-30,-0.018572821925957328,0.00034494971429332126
2017-03-31,0.007177013948347799,5.150952921477886e-05
2017-04-05,0.018605912656171952,0.00034617998576909966
2017-04-06,0.0005504979058041926,3.030479442948017e-07
2017-04-07,0.0009356653674181814,8.754696797858004e-07
2017-04-10,-0.017416534578515552,0.0003033356767246279
2017-04-11,0.002704905985408068,7.316516389896392e-06
