,lnR,lnR_2,szzsRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-08-08,-0.045705024507592285,0.002088949265239611,0.00056575433874805,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-11,-0.053460535094483674,0.0028580288125885206,0.0008025260931728772,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2008-08-12,-0.005226433332533809,2.7315605379420454e-05,0.0006653470583390481,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008-08-13,-0.004446223747917699,1.976890561654731e-05,0.000685010793836493,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008-08-14,-0.0037740306200566565,1.424330712112523e-05,0.000437868242202809,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-15,0.005535551153427853,3.0642326572216435e-05,0.00021081955199013847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-18,-0.054826685650374074,0.0030059654594049344,0.0003888645421579987,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2008-08-19,0.010548649516775477,0.0001112740066277675,0.0005378319326991771,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008-08-20,0.073501498088687,0.0054024702212812584,0.0012662709082527474,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008-08-21,-0.036963254144040114,0.0013662821569168987,0.0008133341112489005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-22,-0.01095331093253904,0.00011997502038487925,0.0005506203429654026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-25,0.003381898379563708,1.1437236649695634e-05,0.00034189003396087894,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2008-08-26,-0.026574696218178318,0.000706214479088461,0.0006500600362953027,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008-08-27,-0.0033830421263978394,1.1444974028982415e-05,0.0005941474045660518,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008-08-28,0.0034081472968514603,1.1615467997035917e-05,0.00023361763045924645,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-29,0.019895708663816514,0.00039583922323546347,0.0002507625750553176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-09-01,-0.030593784162593174,0.0009359796293873369,0.000270873411341691,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
2008-09-02,-0.008744715042547924,7.647004117536393e-05,0.0003488718468771816,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2008-09-03,-0.012318659309227264,0.00015174936717681154,0.00042081322259950797,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2008-09-04,0.00032454393408620774,1.0532876515215275e-07,0.00018414111581428532,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2008-09-05,-0.033470710518088254,0.0011202884625856637,0.0008551959912485558,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2008-09-08,-0.02716541016726559,0.0007379595095557768,0.00039120744853360655,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
2008-09-09,0.0010995058461018559,1.2089131056121579e-06,0.0003164074291088243,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2008-09-10,0.0023181464845087874,5.37380312364045e-06,0.0005285386244719279,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
